NAME	EVEN_AB	EVEN_H	EVEN_AVG	ODD_AB	ODD_H	ODD_AVG
Jim	300	74	247	300	74	247
Pat	300	74	247	300	80	267
Edsel	300	76	253	300	92	307
Arjun	300	72	240	300	85	283
Rich	300	70	233	300	75	250
Pete	300	105	350	300	83	277
Sam	300	80	267	300	89	297
Dave	300	73	243	300	84	280
Curt	300	66	220	300	91	303
Ben	300	80	267	300	96	320
Adam	300	104	347	300	77	257
Dale	300	91	303	300	79	263
Joe	300	79	263	300	65	217
Dick	300	95	317	300	99	330
Brad	300	88	293	300	85	283
Hal	300	83	277	300	74	247
Jay	300	77	257	300	91	303
John	300	80	267	300	67	223
Charles	300	74	247	300	87	290
Neal	300	81	270	300	81	270
